Stage,Team 1,Team 2,Score,Winner,Status,Notes
Round Robin (Pool A),Akbar Khan & Ankush Chhabra,Kashyap Baranwal & Gaurav Rane,5-11,Kashyap Baranwal & Gaurav Rane,COMPLETED,
Round Robin (Pool A),Anuj Ranka & Gautam,Kashyap Baranwal & Gaurav Rane,0-11,Kashyap Baranwal & Gaurav Rane,COMPLETED,Walkover
Round Robin (Pool A),Anuj Ranka & Gautam,Akbar Khan & Ankush Chhabra,0-11,Akbar Khan & Ankush Chhabra,COMPLETED,Walkover
Round Robin (Pool B),Ananda Mandala & Aarav Mandal,Yash Gavhane & Aryan Sopal,11-0,Ananda Mandala & Aarav Mandal,COMPLETED,Walkover
Round Robin (Pool B),Ashwin Soni & Ashish Punjani,Ananda Mandala & Aarav Mandal,5-11,Ananda Mandala & Aarav Mandal,COMPLETED,
Round Robin (Pool B),Ashwin Soni & Ashish Punjani,Yash Gavhane & Aryan Sopal,11-0,Ashwin Soni & Ashish Punjani,COMPLETED,Walkover
Round Robin (Pool C),Arjun Motadoo & Pratik Tanna,Nabil Karbelkar & Usama Khan,11-7,Arjun Motadoo & Pratik Tanna,COMPLETED,
Round Robin (Pool C),Vivin Singh Rana & Arjun Kumar,Arjun Motadoo & Pratik Tanna,11-10,Vivin Singh Rana & Arjun Kumar,COMPLETED,
Round Robin (Pool C),Vivin Singh Rana & Arjun Kumar,Nabil Karbelkar & Usama Khan,11-5,Vivin Singh Rana & Arjun Kumar,COMPLETED,
Round Robin (Pool D),Akshat Gupta & Amit Goyal,Shreyas Rajaram & Aadya Parasnis,0-11,Shreyas Rajaram & Aadya Parasnis,COMPLETED,Walkover
Round Robin (Pool D),Pranav Ingole & Prathmesh Ingole,Shreyas Rajaram & Aadya Parasnis,6-11,Shreyas Rajaram & Aadya Parasnis,COMPLETED,
Round Robin (Pool D),Pranav Ingole & Prathmesh Ingole,Akshat Gupta & Amit Goyal,11-0,Pranav Ingole & Prathmesh Ingole,COMPLETED,Walkover
Round Robin (Pool E),Parth Vijayvargiya & Jay Agrawal,Yashovardhan Jibhkate & Jay Chandani,11-2,Parth Vijayvargiya & Jay Agrawal,COMPLETED,
Round Robin (Pool E),Parth Vijayvargiya & Jay Agrawal,Aadit Palresha & Aniket Shinde,11-4,Parth Vijayvargiya & Jay Agrawal,COMPLETED,
Round Robin (Pool E),Aadit Palresha & Aniket Shinde,Yashovardhan Jibhkate & Jay Chandani,11-9,Aadit Palresha & Aniket Shinde,COMPLETED,
Round Robin (Pool F),Ajay Chaudhari & Yash,Yash Gaikwad & Piyush Gaikwad,6-11,Yash Gaikwad & Piyush Gaikwad,COMPLETED,
Round Robin (Pool F),Santosh Gavai & Nikhil Soni,Yash Gaikwad & Piyush Gaikwad,6-11,Yash Gaikwad & Piyush Gaikwad,COMPLETED,
Round Robin (Pool F),Santosh Gavai & Nikhil Soni,Ajay Chaudhari & Yash,8-11,Ajay Chaudhari & Yash,COMPLETED,
Round Robin (Pool G),Akshaj Bhagat & Amaan Khan,Mayank Narang & Rahul Agrawal,3-11,Mayank Narang & Rahul Agrawal,COMPLETED,
Round Robin (Pool G),Nikhil Sanghvi & Mrigaen Kapadia,Mayank Narang & Rahul Agrawal,0-11,Mayank Narang & Rahul Agrawal,COMPLETED,Walkover
Round Robin (Pool G),Nikhil Sanghvi & Mrigaen Kapadia,Akshaj Bhagat & Amaan Khan,0-11,Akshaj Bhagat & Amaan Khan,COMPLETED,Walkover
Round Robin (Pool H),Kunal Bare & Aniket Durgawali,Tejas Gaikwad & Aarush Leekha,11-8,Kunal Bare & Aniket Durgawali,COMPLETED,
Round Robin (Pool H),Kunal Bare & Aniket Durgawali,Ajay Singh Rawat & Suyash Bamboriya,11-1,Kunal Bare & Aniket Durgawali,COMPLETED,
Round Robin (Pool H),Tejas Gaikwad & Aarush Leekha,Ajay Singh Rawat & Suyash Bamboriya,8-11,Ajay Singh Rawat & Suyash Bamboriya,COMPLETED,
Round of 16,Kashyap Baranwal & Gaurav Rane,Ajay Singh Rawat & Suyash Bamboriya,11-3,Kashyap Baranwal & Gaurav Rane,COMPLETED,
Round of 16,Ananda Mandala & Aarav Mandal,Akshaj Bhagat & Amaan Khan,11-2,Ananda Mandala & Aarav Mandal,COMPLETED,
Round of 16,Vivin Singh Rana & Arjun Kumar,Ajay Chaudhari & Yash,11-10,Vivin Singh Rana & Arjun Kumar,COMPLETED,
Round of 16,Shreyas Rajaram & Aadya Parasnis,Aadit Palresha & Aniket Shinde,11-3,Shreyas Rajaram & Aadya Parasnis,COMPLETED,
Round of 16,Parth Vijayvargiya & Jay Agrawal,Pranav Ingole & Prathmesh Ingole,11-7,Parth Vijayvargiya & Jay Agrawal,COMPLETED,
Round of 16,Yash Gaikwad & Piyush Gaikwad,Arjun Motadoo & Pratik Tanna,11-1,Yash Gaikwad & Piyush Gaikwad,COMPLETED,
Round of 16,Mayank Narang & Rahul Agrawal,Ashwin Soni & Ashish Punjani,11-0,Mayank Narang & Rahul Agrawal,COMPLETED,
Round of 16,Kunal Bare & Aniket Durgawali,Akbar Khan & Ankush Chhabra,11-2,Kunal Bare & Aniket Durgawali,COMPLETED,
Quarter Finals,Kashyap Baranwal & Gaurav Rane,Ananda Mandala & Aarav Mandal,11-2,Kashyap Baranwal & Gaurav Rane,COMPLETED,
Quarter Finals,Vivin Singh Rana & Arjun Kumar,Shreyas Rajaram & Aadya Parasnis,8-11,Shreyas Rajaram & Aadya Parasnis,COMPLETED,
Quarter Finals,Parth Vijayvargiya & Jay Agrawal,Yash Gaikwad & Piyush Gaikwad,11-7,Parth Vijayvargiya & Jay Agrawal,COMPLETED,
Quarter Finals,Mayank Narang & Rahul Agrawal,Kunal Bare & Aniket Durgawali,4-11,Kunal Bare & Aniket Durgawali,COMPLETED,
Semi Finals,Kashyap Baranwal & Gaurav Rane,Shreyas Rajaram & Aadya Parasnis,15-11,Kashyap Baranwal & Gaurav Rane,COMPLETED,
Semi Finals,Parth Vijayvargiya & Jay Agrawal,Kunal Bare & Aniket Durgawali,5-15,Kunal Bare & Aniket Durgawali,COMPLETED,
Finals,Kashyap Baranwal & Gaurav Rane,Kunal Bare & Aniket Durgawali,3-15,Kunal Bare & Aniket Durgawali,COMPLETED,
